iso_code,continent,location,date,human_development_index,median_age,excess_mortality_cumulative_per_million,desc_mort
AFG,Asia,Afghanistan,31/10/2021,0.511,18.6,0,no data
OWID_AFR,,Africa,31/10/2021,,,0,no data
ALB,Europe,Albania,31/10/2021,0.795,38,4576.993415,hight mortality
DZA,Africa,Algeria,31/10/2021,0.748,29.1,0,no data
AND,Europe,Andorra,31/10/2021,0.868,,0,no data
AGO,Africa,Angola,31/10/2021,0.581,16.8,0,no data
AIA,North America,Anguilla,31/10/2021,,,0,no data
ATG,North America,Antigua and Barbuda,31/10/2021,0.778,32.1,0,no data
ARG,South America,Argentina,31/10/2021,0.845,31.9,0,no data
ARM,Asia,Armenia,31/10/2021,0.776,35.7,5627.115812,hight mortality
ABW,North America,Aruba,31/10/2021,,41.2,0,no data
OWID_ASI,,Asia,31/10/2021,,,0,no data
AUS,Oceania,Australia,31/10/2021,0.944,37.9,-556.4789532,mortality is lower
AUT,Europe,Austria,31/10/2021,0.922,44.4,1271.006136,mortality a little bit higher
AZE,Asia,Azerbaijan,31/10/2021,0.756,32.4,3370.756183,hight mortality
BHS,North America,Bahamas,31/10/2021,0.814,34.3,0,no data
BHR,Asia,Bahrain,31/10/2021,0.852,32.4,0,no data
BGD,Asia,Bangladesh,31/10/2021,0.632,27.5,0,no data
BRB,North America,Barbados,31/10/2021,0.814,39.8,0,no data
BLR,Europe,Belarus,31/10/2021,0.823,40.3,0,no data
BEL,Europe,Belgium,31/10/2021,0.931,41.8,1496.088403,mortality a little bit higher
BLZ,North America,Belize,31/10/2021,0.716,25,0,no data
BEN,Africa,Benin,31/10/2021,0.545,18.8,0,no data
BMU,North America,Bermuda,31/10/2021,,,0,no data
BTN,Asia,Bhutan,31/10/2021,0.654,28.6,0,no data
BOL,South America,Bolivia,31/10/2021,0.718,25.4,4073.950877,hight mortality
BES,North America,Bonaire Sint Eustatius and Saba,31/10/2021,,,0,no data
BIH,Europe,Bosnia and Herzegovina,31/10/2021,0.78,42.5,0,no data
BWA,Africa,Botswana,31/10/2021,0.735,25.8,0,no data
BRA,South America,Brazil,31/10/2021,0.765,33.5,3136.754551,medium mortality
VGB,North America,British Virgin Islands,31/10/2021,,,0,no data
BRN,Asia,Brunei,31/10/2021,0.838,32.4,0,no data
BGR,Europe,Bulgaria,31/10/2021,0.816,44.7,6597.343205,hight mortality
BFA,Africa,Burkina Faso,31/10/2021,0.452,17.6,0,no data
BDI,Africa,Burundi,31/10/2021,0.433,17.5,0,no data
KHM,Asia,Cambodia,31/10/2021,0.594,25.6,0,no data
CMR,Africa,Cameroon,31/10/2021,0.563,18.8,0,no data
CAN,North America,Canada,31/10/2021,0.929,41.4,0,no data
CPV,Africa,Cape Verde,31/10/2021,0.665,25.7,0,no data
CYM,North America,Cayman Islands,31/10/2021,,,0,no data
CAF,Africa,Central African Republic,31/10/2021,0.397,18.3,0,no data
TCD,Africa,Chad,31/10/2021,0.398,16.7,0,no data
CHL,South America,Chile,31/10/2021,0.851,35.4,1853.37961,medium mortality
CHN,Asia,China,31/10/2021,0.761,38.7,0,no data
COL,South America,Colombia,31/10/2021,0.767,32.2,3089.803989,medium mortality
COM,Africa,Comoros,31/10/2021,0.554,20.4,0,no data
COG,Africa,Congo,31/10/2021,0.574,19,0,no data
COK,Oceania,Cook Islands,31/10/2021,,,0,no data
CRI,North America,Costa Rica,31/10/2021,0.81,33.6,0,no data
CIV,Africa,Cote d'Ivoire,31/10/2021,0.538,18.7,0,no data
HRV,Europe,Croatia,31/10/2021,0.851,44,2890.884756,medium mortality
CUB,North America,Cuba,31/10/2021,0.783,43.1,0,no data
CUW,North America,Curacao,31/10/2021,,41.7,0,no data
CYP,Europe,Cyprus,31/10/2021,0.887,37.3,714.7281544,mortality a little bit higher
CZE,Europe,Czechia,31/10/2021,0.9,43.3,3151.497316,medium mortality
COD,Africa,Democratic Republic of Congo,31/10/2021,0.48,17,0,no data
DNK,Europe,Denmark,31/10/2021,0.94,42.3,-45.63671387,mortality is lower
DJI,Africa,Djibouti,31/10/2021,0.524,25.4,0,no data
DMA,North America,Dominica,31/10/2021,0.742,,0,no data
DOM,North America,Dominican Republic,31/10/2021,0.756,27.6,0,no data
ECU,South America,Ecuador,31/10/2021,0.759,28.1,3662.436494,hight mortality
EGY,Africa,Egypt,31/10/2021,0.707,25.3,2490.579002,medium mortality
SLV,North America,El Salvador,31/10/2021,0.673,27.6,0,no data
GNQ,Africa,Equatorial Guinea,31/10/2021,0.592,22.4,0,no data
ERI,Africa,Eritrea,31/10/2021,0.459,19.3,0,no data
EST,Europe,Estonia,31/10/2021,0.892,42.7,1773.786059,mortality a little bit higher
SWZ,Africa,Eswatini,31/10/2021,0.611,21.5,0,no data
ETH,Africa,Ethiopia,31/10/2021,0.485,19.8,0,no data
OWID_EUR,,Europe,31/10/2021,,,0,no data
OWID_EUN,,European Union,31/10/2021,,,0,no data
FRO,Europe,Faeroe Islands,31/10/2021,,,-1826.595723,mortality is lower
FLK,South America,Falkland Islands,31/10/2021,,,0,no data
FJI,Oceania,Fiji,31/10/2021,0.743,28.6,0,no data
